Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,ECO07436,7.22700,7.15557,7.47700,7.08414,7.69129,Y,Y,N,N,0.00333,0.00000,N,N,1,7
LOGZ,ECO07436,-0.58174,-0.64713,-0.32018,-0.71252,-0.09131,Y,Y,N,N,0.00000,0.00000,N,N,1,22
LOGQ,ECO07439,7.26271,7.15557,7.36986,7.08414,7.44129,Y,Y,N,N,0.00118,0.00000,N,N,1,8
LOGZ,ECO07439,-0.32018,-0.38557,-0.18940,-0.45096,-0.12401,Y,Y,N,N,0.00000,0.00000,N,N,1,30
LOGQ,ECO07440,7.19129,7.11986,7.36986,7.04843,7.47700,Y,Y,N,N,0.00835,0.00000,N,N,1,6
LOGZ,ECO07440,-0.48365,-0.58174,-0.32018,-0.64713,-0.15670,Y,Y,N,N,0.00000,0.00000,N,N,1,25
LOGQ,ECO07443,7.44129,7.36986,7.69129,7.26271,7.86986,Y,Y,N,N,0.00000,0.00000,N,N,1,13
LOGZ,ECO07443,-0.51635,-0.61443,-0.28748,-0.71252,-0.12401,Y,Y,N,N,0.00000,0.00000,N,N,1,24
LOGQ,ECO07445,7.08414,7.01271,7.22700,-inf,7.33414,Y,Y,N,N,0.20046,0.00000,N,N,1,3
LOGZ,ECO07445,-0.41826,-0.51635,-0.28748,-0.58174,-0.15670,Y,Y,N,N,0.00000,0.00000,N,N,1,27
LOGQ,ECO07452,7.15557,7.11986,7.29843,7.04843,7.44129,Y,Y,N,N,0.01052,0.00000,N,N,1,5
LOGZ,ECO07452,-0.54904,-0.64713,-0.41826,-0.71252,-0.25479,Y,Y,N,N,0.00000,0.00000,N,N,1,23
