Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGZ,ECO10616,0.30103,0.13755,inf,-0.05862,inf,Y,Y,N,Y,0.00000,0.51064,N,Y,1,49
AGNFRAC,ECO10624,0.00000,-inf,0.16327,-inf,0.32653,Y,Y,Y,N,0.36050,0.00013,N,N,1,0
LOGQ,ECO10624,7.15557,7.04843,7.40557,-inf,7.69129,Y,Y,N,N,0.13990,0.00000,N,N,1,5
LOGZ,ECO10624,0.10486,-0.05862,0.23564,-0.25479,inf,Y,Y,N,N,0.00000,0.13357,N,N,1,43
AGNFRAC,ECO10625,0.00000,-inf,0.18367,-inf,0.34694,Y,Y,Y,N,0.33497,0.00016,N,N,1,0
LOGQ,ECO10625,7.36986,7.15557,7.61986,-inf,7.86986,Y,Y,N,N,0.06178,0.00002,N,N,2,11
LOGZ,ECO10625,0.23564,-0.09131,0.26833,-0.38557,inf,Y,Y,N,Y,0.00000,0.17842,N,N,2,47
AGNFRAC,ECO10626,0.40816,0.30612,0.65306,0.20408,0.87755,Y,Y,N,N,0.00000,0.00649,N,N,1,20
LOGQ,ECO10626,7.04843,7.01271,7.22700,-inf,7.40557,Y,Y,Y,N,0.29842,0.00000,N,N,1,2
LOGZ,ECO10626,-0.12401,-0.22209,0.07216,-0.32018,0.23564,Y,Y,N,N,0.00000,0.01986,N,N,1,36
AGNFRAC,ECO10629,0.00000,-inf,0.18367,-inf,0.32653,Y,Y,Y,N,0.33952,0.00013,N,N,1,0
LOGQ,ECO10629,7.36986,7.15557,7.58414,-inf,7.86986,Y,Y,N,N,0.04864,0.00002,N,N,2,11
LOGZ,ECO10629,0.13755,-0.05862,0.26833,-0.35287,inf,Y,Y,N,N,0.00000,0.18228,N,N,2,44
AGNFRAC,ECO10641,0.00000,-inf,0.16327,-inf,0.32653,Y,Y,Y,N,0.35665,0.00012,N,N,1,0
LOGQ,ECO10641,7.44129,7.22700,7.65557,7.04843,7.97700,Y,Y,N,N,0.02270,0.00008,N,N,2,13
LOGZ,ECO10641,0.23564,0.03947,0.26833,-0.25479,inf,Y,Y,N,Y,0.00000,0.29036,N,N,1,47
AGNFRAC,ECO10642,0.00000,-inf,0.14286,-inf,0.30612,Y,Y,Y,N,0.40904,0.00014,N,N,1,0
LOGQ,ECO10642,7.19129,7.08414,7.47700,-inf,7.83414,Y,Y,N,N,0.09232,0.00004,N,N,1,6
LOGZ,ECO10642,0.23564,0.03947,0.26833,-0.15670,inf,Y,Y,N,Y,0.00000,0.25643,N,N,1,47
AGNFRAC,ECO10653,0.00000,0.02041,0.24490,-inf,0.48980,N,Y,Y,N,0.29140,0.00053,N,N,1,0
LOGQ,ECO10653,6.97700,7.01271,7.54843,-inf,7.90557,N,Y,Y,N,0.24344,0.00004,N,N,2,0
LOGZ,ECO10653,-0.48365,-0.51635,0.03947,-0.61443,0.26833,Y,Y,N,N,0.00000,0.03496,N,N,3,25
AGNFRAC,ECO10668,0.00000,-inf,0.18367,-inf,0.38776,Y,Y,Y,N,0.38024,0.00032,N,N,1,0
LOGQ,ECO10668,6.97700,7.01271,7.36986,-inf,7.69129,N,Y,Y,N,0.21491,0.00000,N,N,1,0
LOGZ,ECO10668,0.03947,-0.28748,0.17025,-0.45096,inf,Y,Y,N,N,0.00000,0.05620,N,N,2,41
AGNFRAC,ECO10673,0.00000,-inf,0.16327,-inf,0.34694,Y,Y,Y,N,0.34869,0.00016,N,N,1,0
LOGQ,ECO10673,7.36986,7.19129,7.61986,7.01271,7.94129,Y,Y,N,N,0.03719,0.00006,N,N,2,11
