Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGZ,ECO02061,8.25011,8.19078,8.38197,8.12485,8.54679,Y,Y,N,N,0.00000,0.00000,N,N,1,120
LOGQ,ECO02062,7.45951,7.40190,7.61074,7.33708,7.77638,Y,Y,N,N,0.00000,0.00000,N,N,1,67
LOGZ,ECO02062,8.13803,8.06551,8.28967,7.99299,8.44130,Y,Y,N,N,0.00000,0.00000,N,N,1,103
LOGQ,ECO02063,7.42350,7.36589,7.61795,7.29387,7.84840,Y,Y,N,N,0.00000,0.00000,N,N,1,62
LOGZ,ECO02063,8.21055,8.13144,8.36878,8.05233,8.55997,Y,Y,N,N,0.00000,0.00000,N,N,1,114
LOGQ,ECO02064,7.14984,7.08502,7.32268,7.02021,7.61074,Y,Y,N,N,0.00339,0.00000,N,N,1,24
LOGZ,ECO02064,8.17759,8.10507,8.31604,8.02595,8.57975,Y,Y,N,N,0.00000,0.00000,N,N,1,109
LOGQ,ECO02065,7.04902,7.02021,7.23626,6.98420,7.43070,Y,Y,N,N,0.03092,0.00000,N,N,1,10
LOGZ,ECO02065,8.30945,8.24352,8.41493,8.18418,8.65227,Y,Y,N,N,0.00000,0.00000,N,N,2,129
LOGQ,ECO02066,7.34428,7.28667,7.48112,7.22906,7.65395,Y,Y,N,N,0.00000,0.00000,N,N,1,51
LOGZ,ECO02066,8.23033,8.14463,8.34241,8.07870,8.48086,Y,Y,N,N,0.00000,0.00000,N,N,1,117
LOGQ,ECO02067,7.24346,7.16424,7.39470,7.10663,7.61074,Y,Y,N,N,0.00000,0.00000,N,N,1,37
LOGZ,ECO02067,8.24352,8.18418,8.38856,8.11166,8.58635,Y,Y,N,N,0.00000,0.00000,N,N,1,119
LOGQ,ECO02068,7.60354,7.52433,7.84120,7.43791,8.11486,Y,Y,N,N,0.00000,0.00000,N,N,1,87
LOGZ,ECO02068,8.14463,8.07870,8.34241,8.00618,8.52042,Y,Y,N,N,0.00000,0.00000,N,N,2,104
