Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
nii6584,ECO00032,Y,0.32463,0.35170,-0.72675,8.71619
sii6717,ECO00032,Y,0.64567,0.46109,1.29412,4.52691
sii6731,ECO00032,Y,0.53429,0.35069,3.67078,10.68234
hbeta,ECO00033,Y,1.00000,1.00000,0.00000,10.42244
oiii4959,ECO00033,Y,0.98987,0.54507,3.97423,8.84434
oiii5007,ECO00033,Y,1.82750,1.62625,1.84846,16.78552
oi6300,ECO00033,Y,-0.20422,0.07204,-3.14108,-2.32198
nii6548,ECO00033,Y,0.15742,0.27491,-6.05148,8.10878
halpha,ECO00033,Y,2.86000,2.80739,0.68369,37.17009
nii6584,ECO00033,Y,0.46969,0.81037,-5.81808,8.02107
sii6717,ECO00033,Y,0.68588,0.71168,-0.25752,6.84734
sii6731,ECO00033,Y,1.12221,0.53817,6.79488,13.05622
hbeta,ECO00034,Y,1.00000,1.00000,0.00000,24.19634
oiii4959,ECO00034,Y,0.68619,0.50083,5.03441,18.63692
oiii5007,ECO00034,Y,1.93029,1.49424,8.69338,38.48361
oi6300,ECO00034,Y,0.10263,0.04313,2.79556,4.82162
nii6548,ECO00034,Y,0.06550,0.07399,-1.25265,9.66209
halpha,ECO00034,Y,2.86000,2.80916,1.12908,63.51285
nii6584,ECO00034,Y,0.19743,0.21811,-1.01147,9.65549
sii6717,ECO00034,Y,0.37082,0.32496,1.49844,12.11817
sii6731,ECO00034,Y,0.32076,0.24748,3.03820,13.29925
hbeta,ECO00035,Y,1.00000,1.00000,0.00000,22.24415
oiii4959,ECO00035,Y,0.42402,0.36443,1.73822,12.36890
oiii5007,ECO00035,Y,1.42001,1.08729,8.04560,34.33774
oi6300,ECO00035,Y,0.10359,0.06369,1.26554,3.28582
nii6548,ECO00035,Y,0.14380,0.13381,1.36101,19.58511
halpha,ECO00035,Y,2.86000,2.80331,1.35224,68.21820
nii6584,ECO00035,Y,0.43337,0.39442,1.75874,19.56899
sii6717,ECO00035,Y,0.64120,0.50598,5.34300,25.33734
sii6731,ECO00035,Y,0.44033,0.38471,2.40483,19.03613
hbeta,ECO00036,Y,1.00000,1.00000,0.00000,41.33955
oiii4959,ECO00036,Y,1.16487,0.86187,10.08274,38.76217
oiii5007,ECO00036,Y,3.38963,2.57146,17.22253,71.35153
oi6300,ECO00036,Y,0.06461,0.03306,2.37428,4.86287
nii6548,ECO00036,Y,0.06057,0.07033,-2.52159,15.65823
halpha,ECO00036,Y,2.86000,2.79855,1.65353,76.95940
nii6584,ECO00036,Y,0.18259,0.20732,-2.11882,15.64855
sii6717,ECO00036,Y,0.36129,0.27321,6.24415,25.61370
sii6731,ECO00036,Y,0.25355,0.20803,2.66711,14.85490
hbeta,ECO00037,Y,1.00000,1.00000,0.00000,80.47048
oiii4959,ECO00037,Y,0.82056,0.59479,18.74286,68.12176
oiii5007,ECO00037,Y,2.50424,1.77459,35.14098,120.60736
oi6300,ECO00037,Y,0.07081,0.03683,6.73581,14.03746
nii6548,ECO00037,Y,0.04883,0.06079,-7.75430,31.63802
halpha,ECO00037,Y,2.86000,2.80843,2.72084,150.90663
nii6584,ECO00037,Y,0.14722,0.17920,-6.87148,31.62654
sii6717,ECO00037,Y,0.34975,0.27762,11.20363,54.32067
sii6731,ECO00037,Y,0.24395,0.21158,5.29131,39.88111
hbeta,ECO00038,Y,1.00000,1.00000,0.00000,8.44534
