Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,ECO00357,7.01268,-inf,7.19126,-inf,7.40554,Y,Y,Y,N,0.42769,0.00003,N,N,1,1
LOGZ,ECO00357,-0.64713,-0.71252,-0.51635,-0.77791,-0.38557,Y,Y,N,N,0.00000,0.00032,N,N,2,20
AGNFRAC,ECO00360,0.36735,0.14286,0.79592,0.02041,0.97959,Y,Y,N,N,0.03992,0.02707,N,N,1,18
LOGQ,ECO00360,7.04840,7.01268,7.22697,-inf,7.44126,Y,Y,Y,N,0.25751,0.00001,N,N,1,2
LOGZ,ECO00360,-0.64713,-0.74521,-0.51635,-0.81060,-0.35287,Y,Y,N,N,0.00000,0.00043,N,N,2,20
AGNFRAC,ECO00366,0.26531,0.12245,0.73469,0.02041,0.95918,Y,Y,N,N,0.04834,0.01921,N,N,1,13
LOGQ,ECO00366,7.15554,7.04840,7.33411,7.01268,7.54840,Y,Y,N,N,0.08221,0.00005,N,N,1,5
LOGZ,ECO00366,-0.64713,-0.74521,-0.51635,-0.81060,-0.35287,Y,Y,N,N,0.00000,0.00052,N,N,2,20
AGNFRAC,ECO00372,0.08163,0.08163,0.65306,-inf,0.93878,Y,Y,N,N,0.07007,0.01252,N,N,1,4
LOGQ,ECO00372,7.33411,7.22697,7.58411,7.15554,7.90554,Y,Y,N,N,0.00023,0.00047,N,N,1,10
LOGZ,ECO00372,-0.77791,-0.84330,-0.61443,-0.90869,-0.45096,Y,Y,N,N,0.00000,0.00011,N,N,2,16
AGNFRAC,ECO00389,0.00000,0.06122,0.53061,-inf,0.87755,N,Y,Y,N,0.10065,0.00700,N,N,1,0
LOGQ,ECO00389,7.26268,7.19126,7.51268,7.08411,7.97697,Y,Y,N,N,0.00344,0.00091,N,N,1,8
LOGZ,ECO00389,-0.71252,-0.77791,-0.58174,-0.84330,-0.32018,Y,Y,N,N,0.00000,0.00033,N,N,2,18
AGNFRAC,ECO00391,0.00000,0.08163,0.61224,-inf,0.91837,N,Y,Y,N,0.07987,0.00966,N,N,1,0
LOGQ,ECO00391,7.08411,7.01268,7.26268,-inf,7.51268,Y,Y,N,N,0.20320,0.00011,N,N,1,3
LOGZ,ECO00391,-0.64713,-0.74521,-0.54904,-0.81060,-0.38557,Y,Y,N,N,0.00000,0.00043,N,N,2,20
AGNFRAC,ECO00398,0.10204,0.08163,0.63265,-inf,0.91837,Y,Y,N,N,0.06982,0.01006,N,N,2,5
LOGQ,ECO00398,6.97697,-inf,7.15554,-inf,7.36983,Y,Y,Y,N,0.50043,0.00001,Y,N,1,0
LOGZ,ECO00398,-0.67982,-0.77791,-0.58174,-0.84330,-0.45096,Y,Y,N,N,0.00000,0.00004,N,N,2,19
AGNFRAC,ECO00409,0.36735,0.16327,0.75510,0.02041,0.95918,Y,Y,N,N,0.03178,0.02095,N,N,1,18
LOGQ,ECO00409,7.76268,7.61983,8.04840,7.51268,8.40554,Y,Y,N,N,0.00000,0.00275,N,N,1,22
LOGZ,ECO00409,-0.90869,-1.00677,-0.74521,-1.07216,-0.58174,Y,Y,N,N,0.00000,0.00000,N,N,2,12
AGNFRAC,ECO00411,0.00000,0.10204,0.71429,-inf,0.95918,N,Y,Y,N,0.06153,0.01696,N,N,1,0
LOGQ,ECO00411,7.04840,7.01268,7.22697,-inf,7.44126,Y,Y,Y,N,0.32530,0.00004,N,N,1,2
LOGZ,ECO00411,-0.64713,-0.71252,-0.51635,-0.77791,-0.35287,Y,Y,N,N,0.00000,0.00082,N,N,2,20
AGNFRAC,ECO00420,0.22449,0.12245,0.71429,-inf,0.93878,Y,Y,N,N,0.05111,0.01617,N,N,1,11
LOGQ,ECO00420,7.11983,7.04840,7.29840,-inf,7.51268,Y,Y,N,N,0.11697,0.00003,N,N,1,4
LOGZ,ECO00420,-0.67982,-0.74521,-0.54904,-0.81060,-0.41826,Y,Y,N,N,0.00000,0.00020,N,N,2,19
AGNFRAC,ECO00424,0.06122,0.08163,0.65306,-inf,0.91837,N,Y,N,N,0.06592,0.01074,N,N,2,3
LOGQ,ECO00424,7.86983,7.72697,8.19126,7.58411,8.58411,Y,Y,N,N,0.00000,0.00913,N,N,1,25
LOGZ,ECO00424,-0.84330,-0.90869,-0.61443,-0.97408,-0.41826,Y,Y,N,N,0.00000,0.00000,N,N,1,14
