Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
sii6731,ECO00031,Y,0.59353,0.53029,0.75355,7.07264
hbeta,ECO00032,Y,1.00000,1.00000,0.00000,14.28736
oiii4959,ECO00032,Y,0.43246,0.40776,0.35109,6.14650
oiii5007,ECO00032,Y,1.53434,1.21660,3.98418,19.23935
oi6300,ECO00032,Y,0.06933,0.06307,0.15462,1.71339
nii6548,ECO00032,Y,0.10782,0.09718,0.86097,8.73134
halpha,ECO00032,Y,2.86000,2.79856,0.96327,44.84060
nii6584,ECO00032,Y,0.32463,0.28649,1.02414,8.71619
sii6717,ECO00032,Y,0.64567,0.53005,0.81065,4.52691
sii6731,ECO00032,Y,0.53429,0.40274,2.63017,10.68234
hbeta,ECO00033,Y,1.00000,1.00000,0.00000,10.42244
oiii4959,ECO00033,Y,0.98987,0.48392,4.52055,8.84434
oiii5007,ECO00033,Y,1.82750,1.44382,3.52405,16.78552
oi6300,ECO00033,Y,-0.20422,0.05601,-2.95883,-2.32198
nii6548,ECO00033,Y,0.15742,0.14757,0.50750,8.10878
halpha,ECO00033,Y,2.86000,2.79654,0.82475,37.17009
nii6584,ECO00033,Y,0.46969,0.43501,0.59214,8.02107
sii6717,ECO00033,Y,0.68588,0.56502,1.20656,6.84734
sii6731,ECO00033,Y,1.12221,0.42900,8.06505,13.05622
hbeta,ECO00034,Y,1.00000,1.00000,0.00000,24.19634
oiii4959,ECO00034,Y,0.68619,0.52919,4.26419,18.63692
oiii5007,ECO00034,Y,1.93029,1.57887,7.00624,38.48361
oi6300,ECO00034,Y,0.10263,0.04876,2.53073,4.82162
nii6548,ECO00034,Y,0.06550,0.06236,0.46355,9.66209
halpha,ECO00034,Y,2.86000,2.80081,1.31448,63.51285
nii6584,ECO00034,Y,0.19743,0.18382,0.66555,9.65549
sii6717,ECO00034,Y,0.37082,0.39306,-0.72687,12.11817
sii6731,ECO00034,Y,0.32076,0.29892,0.90520,13.29925
hbeta,ECO00035,Y,1.00000,1.00000,0.00000,22.24415
oiii4959,ECO00035,Y,0.42402,0.39335,0.89449,12.36890
oiii5007,ECO00035,Y,1.42001,1.17363,5.95760,34.33774
oi6300,ECO00035,Y,0.10359,0.06707,1.15852,3.28582
nii6548,ECO00035,Y,0.14380,0.12037,3.19083,19.58511
halpha,ECO00035,Y,2.86000,2.79684,1.50661,68.21820
nii6584,ECO00035,Y,0.43337,0.35484,3.54592,19.56899
sii6717,ECO00035,Y,0.64120,0.58935,2.04889,25.33734
sii6731,ECO00035,Y,0.44033,0.44763,-0.31558,19.03613
hbeta,ECO00036,Y,1.00000,1.00000,0.00000,41.33955
oiii4959,ECO00036,Y,1.16487,0.88964,9.15864,38.76217
oiii5007,ECO00036,Y,3.38963,2.65428,15.47916,71.35153
oi6300,ECO00036,Y,0.06461,0.03580,2.16847,4.86287
nii6548,ECO00036,Y,0.06057,0.05564,1.27679,15.65823
halpha,ECO00036,Y,2.86000,2.79324,1.79640,76.95940
nii6584,ECO00036,Y,0.18259,0.16400,1.59329,15.64855
sii6717,ECO00036,Y,0.36129,0.31271,3.44427,25.61370
sii6731,ECO00036,Y,0.25355,0.23766,0.93093,14.85490
hbeta,ECO00037,Y,1.00000,1.00000,0.00000,80.47048
oiii4959,ECO00037,Y,0.82056,0.62840,15.95286,68.12176
oiii5007,ECO00037,Y,2.50424,1.87486,30.31197,120.60736
oi6300,ECO00037,Y,0.07081,0.03986,6.13596,14.03746
nii6548,ECO00037,Y,0.04883,0.04839,0.28132,31.63802
halpha,ECO00037,Y,2.86000,2.80149,3.08708,150.90663
nii6584,ECO00037,Y,0.14722,0.14265,0.98064,31.62654
sii6717,ECO00037,Y,0.34975,0.31889,4.79304,54.32067
sii6731,ECO00037,Y,0.24395,0.24269,0.20707,39.88111
hbeta,ECO00038,Y,1.00000,1.00000,0.00000,8.44534
oiii4959,ECO00038,Y,0.53314,0.48556,0.42348,4.74511
oiii5007,ECO00038,Y,1.78314,1.44871,2.64121,14.08267
oi6300,ECO00038,Y,-0.04436,0.05805,-1.34661,-0.58325
nii6548,ECO00038,Y,0.14739,0.13570,0.50100,6.31508
halpha,ECO00038,Y,2.86000,2.79530,0.67930,30.02851
nii6584,ECO00038,Y,0.44178,0.40002,0.59310,6.27534
sii6717,ECO00038,Y,0.59408,0.56146,0.41728,7.60037
sii6731,ECO00038,Y,0.62188,0.42628,2.30951,7.34260
hbeta,ECO00039,Y,1.00000,1.00000,0.00000,6.13387
oiii4959,ECO00039,Y,0.13326,0.21071,-0.54882,0.94431
oiii5007,ECO00039,Y,0.89563,0.62868,1.65657,5.55778
oi6300,ECO00039,Y,0.22526,0.09004,1.23868,2.06342
nii6548,ECO00039,Y,0.18280,0.16191,0.60952,5.33351
halpha,ECO00039,Y,2.86000,2.79822,0.43791,20.27124
nii6584,ECO00039,Y,0.55060,0.47729,0.70914,5.32603
sii6717,ECO00039,Y,1.03374,0.78673,1.84135,7.70617
sii6731,ECO00039,Y,0.40711,0.59746,-1.78232,3.81198
hbeta,ECO00040,Y,1.00000,1.00000,0.00000,10.79636
oiii4959,ECO00040,Y,1.18719,0.88525,3.39786,13.36001
oiii5007,ECO00040,Y,3.66266,2.64122,8.73210,31.31161
oi6300,ECO00040,Y,-0.02741,0.03455,-1.08659,-0.48064
nii6548,ECO00040,Y,0.10610,0.09303,0.77764,6.31263
halpha,ECO00040,Y,2.86000,2.79410,0.86402,37.49868
nii6584,ECO00040,Y,0.31900,0.27424,0.88293,6.29239
sii6717,ECO00040,Y,0.55465,0.35552,2.89021,8.05022
sii6731,ECO00040,Y,0.31962,0.26963,0.94145,6.01885
hbeta,ECO00042,Y,1.00000,1.00000,0.00000,15.46888
oiii4959,ECO00042,Y,0.68616,0.48794,3.26357,11.29687
oiii5007,ECO00042,Y,1.90834,1.45581,6.82233,28.77025
oi6300,ECO00042,Y,0.14847,0.05895,2.21861,3.67962
nii6548,ECO00042,Y,0.15490,0.12790,1.94316,11.14928
halpha,ECO00042,Y,2.86000,2.79540,1.15477,51.12344
nii6584,ECO00042,Y,0.46274,0.37703,2.04529,11.04272
sii6717,ECO00042,Y,0.41332,0.55489,-0.96075,2.80498
sii6731,ECO00042,Y,0.61744,0.42133,3.67287,11.56394
hbeta,ECO00048,Y,1.00000,1.00000,0.00000,7.58831
oiii4959,ECO00048,Y,0.41845,0.43371,-0.12167,3.33593
oiii5007,ECO00048,Y,1.64447,1.29403,2.35176,11.03574
oi6300,ECO00048,Y,0.09529,0.06259,0.37879,1.10367
nii6548,ECO00048,Y,0.15865,0.13760,0.80764,6.08677
halpha,ECO00048,Y,2.86000,2.79565,0.57165,25.40542
nii6584,ECO00048,Y,0.47879,0.40562,0.93072,6.09021
sii6717,ECO00048,Y,0.71738,0.59137,1.35668,7.72386
sii6731,ECO00048,Y,0.45794,0.44906,0.10676,5.50509
hbeta,ECO00050,Y,1.00000,1.00000,0.00000,13.93110
oiii4959,ECO00050,Y,0.32926,0.30872,0.34059,5.45962
oiii5007,ECO00050,Y,1.37550,0.92111,6.45325,19.53471
oi6300,ECO00050,Y,0.18397,0.07113,2.77039,4.51658
nii6548,ECO00050,Y,0.10132,0.09388,0.58604,7.98897
halpha,ECO00050,Y,2.86000,2.80163,0.92352,45.25100
nii6584,ECO00050,Y,0.30581,0.27676,0.75938,7.99448
sii6717,ECO00050,Y,0.65763,0.56645,1.67277,12.06490
sii6731,ECO00050,Y,0.42352,0.43037,-0.14601,9.03051
hbeta,ECO00051,Y,1.00000,1.00000,0.00000,9.04570
oiii4959,ECO00051,Y,0.87428,0.74505,1.29013,8.72812
oiii5007,ECO00051,Y,2.45978,2.22293,1.86842,19.40487
oi6300,ECO00051,Y,0.04245,0.04483,-0.03613,0.64399
nii6548,ECO00051,Y,0.09835,0.08691,0.56056,4.82208
halpha,ECO00051,Y,2.86000,2.79364,0.66683,28.73881
nii6584,ECO00051,Y,0.29647,0.25620,0.65459,4.81944
